of_gls,of_time_domain,empca_rank1,rq_of_ampl_0,resid_of,resid_empca_rank1
10413.93931010313,10413.939988106264,10413.849241699294,10414.418400408309,5821370515921244.0,5829980098111308.0
10413.36301475275,10413.361829814952,10413.277948008614,10414.548679323218,5726357447344946.0,5733904744919249.0
10396.59939323282,10396.59735374629,10396.488037679688,10395.30792041167,5632734501691825.0,5645861507457467.0
10415.308025129078,10415.308582950887,10415.20108508083,10413.75684102367,5749663963338908.0,5761857624732426.0
10415.05360727103,10415.053545176237,10414.92983522253,10415.268868761304,5726236715006574.0,5742006151047358.0
10412.11159980579,10412.111285402176,10411.969456887055,10412.247026181065,5675506872195243.0,5695176452144966.0
10410.117807658455,10410.117854602011,10410.023993616736,10411.818739754774,5728928362658942.0,5738333999080928.0
10416.167369796458,10416.168580386984,10416.083428885016,10416.22528612153,5756523843950836.0,5763831139916854.0
10418.130662098056,10418.131374317001,10418.029119424278,10415.741025630767,5821283914774117.0,5832331061176609.0
10412.68198206259,10412.683197852251,10412.569850581594,10412.861194070194,5701056457742770.0,5714352323090367.0
10425.593176542985,10425.592283330041,10425.470498753257,10425.190555206353,5689230030270110.0,5704772061759593.0
10411.141620831886,10411.141309321662,10411.024191937267,10412.812183084881,5726411976050707.0,5740832398400393.0
10413.850771170952,10413.853572838998,10413.745506208701,10414.880975760845,5795054136285260.0,5806891747058858.0
10416.720401524248,10416.720614088856,10416.59573515327,10415.649795724965,5758182817641778.0,5774143114193586.0
10412.414002203195,10412.41098354264,10412.300871818376,10415.425413473582,5693755781661052.0,5707263730465516.0
10395.043559111968,10395.039336615497,10394.949154199267,10395.188606275065,5827772019438859.0,5837304524753548.0
10408.49446263281,10408.493027915858,10408.398699998705,10408.263273703617,5797717916964490.0,5807537428120801.0
10398.46493819615,10398.465760376972,10398.37627160486,10398.440086481865,5816836939768908.0,5825152011886105.0
10413.88153030992,10413.882736769072,10413.784089982233,10412.525585729014,5707699906546848.0,5717875428924124.0
10377.644271587325,10377.64445950704,10377.55856509707,10376.137227716365,5600860927125912.0,5608553723627449.0
10395.79805685254,10395.798623566949,10395.667447533151,10394.871405564687,5712475181025901.0,5729684717790932.0
10410.168412697776,10410.16661651204,10410.072395137317,10411.349837160024,5741402204182754.0,5751275735385887.0
10413.467384045001,10413.46537380781,10413.40951036766,10412.282864017752,5674977387800714.0,5676748575125620.0
10409.022954953507,10409.021993457927,10408.920413051655,10410.316949904762,5757412255184496.0,5768671097297652.0
10393.181263545006,10393.180837552627,10393.058611963537,10392.63526206875,5733232307095264.0,5748753149119147.0
10399.192616848244,10399.19309677373,10399.066983383069,10397.36834171819,5734546259908104.0,5750702524203398.0
10397.562146443232,10397.55970933319,10397.456691404797,10398.831575009237,5646875847547324.0,5658751687825057.0
10410.297238206667,10410.295549722834,10410.201025268268,10410.618831716036,5693363590530313.0,5703278601297343.0
10411.620664588487,10411.621341709979,10411.520970097914,10408.12629024826,5728945930741947.0,5739600248637647.0
10413.212756034183,10413.211835278245,10413.113249998585,10415.218680645734,5713333486581488.0,5723947796436245.0
10413.268477302998,10413.269080020225,10413.165401058346,10412.687898090826,5800020119779408.0,5811392761728477.0
10415.645700825062,10415.648346589545,10415.52364306643,10414.804271391573,5704066397513170.0,5719471924919947.0
10416.32653578931,10416.327919337476,10416.209536215616,10414.47223246138,5649096810977851.0,5663427957986557.0
10412.418068395204,10412.417408313882,10412.322532284797,10413.575636770742,5683723049883261.0,5693494187678658.0
10412.592384042975,10412.593006076388,10412.470431453368,10413.80958049513,5750922115569638.0,5766303874700799.0
10392.102290412893,10392.102376177185,10391.962373714276,10392.500943240411,5798207023014353.0,5817387080720025.0
10411.211079114692,10411.21183111127,10411.151967358468,10412.555262367427,5710044888851454.0,5712080895422129.0
10390.810199001307,10390.812222026914,10390.689757885817,10392.764609279826,5700670007222510.0,5715721197530472.0
10411.900775183714,10411.898017304795,10411.796841893807,10412.515396580888,5745562346421880.0,5757116893444075.0
10412.119148800213,10412.121369136488,10412.005043018895,10413.07177545794,5671266914192670.0,5684981934713765.0
10414.891353307154,10414.88621515221,10414.790888764319,10415.284605116543,5629718905416089.0,5640536853851873.0
10406.936053518275,10406.93617428283,10406.834826409467,10408.526987407064,5709847418914177.0,5720827011750018.0
10424.70440757506,10424.703938111446,10424.61819401645,10425.48799209414,5723530417462778.0,5731318320704220.0
10364.29795514655,10364.29664389938,10364.188025278125,10363.746285713542,5775779844927472.0,5788597150386085.0
