of_amp_gls,of_amp_td,emp_amp_scaled,resid_of,resid_emp
8433.779188854014,8433.779339890149,8435.157066143676,5.350339885948364e+17,1.1104652838593434e+18
8436.510193076916,8436.507705287066,8432.676269709573,5.360741019671496e+17,1.111878256018929e+18
8437.36813801357,8437.36787098954,8436.093353182516,5.3575982805635994e+17,1.1116810366393553e+18
8437.338078839608,8437.338054212782,8440.2831749742,5.356168502000228e+17,1.1115338506133632e+18
8432.716047749196,8432.714232342867,8429.149702122355,5.3511509470694016e+17,1.1104014467058295e+18
8438.13436881222,8438.131767713923,8439.521256497957,5.357616802248528e+17,1.111787430950918e+18
8424.184569794665,8424.184152783659,8423.3599844015,5.3346017882682976e+17,1.1075830039978212e+18
8426.642502210952,8426.641340653534,8429.15196048188,5.340108943056224e+17,1.1084687105473833e+18
8434.589010932705,8434.585092167312,8437.298434502472,5.354461126817433e+17,1.1109878875295446e+18
8442.93629832743,8442.935568855923,8444.360173704437,5.356374592219487e+17,1.1123189990561713e+18
8435.448810890424,8435.447630620169,8435.27405709227,5.3539822092364077e+17,1.1110574116829338e+18
8437.493408253282,8437.492168649056,8440.491957570435,5.3537354954940826e+17,1.1113117538276214e+18
8438.208589331116,8438.206482039293,8437.121493886943,5.358233525217376e+17,1.111859297880857e+18
8439.436767043942,8439.434019636334,8437.797456255019,5.3575487837469203e+17,1.1119585331995991e+18
8440.122588818214,8440.12194841194,8443.617311752621,5.3511542164015174e+17,1.1114126021135584e+18
8422.669842858206,8422.669895309053,8421.689720428441,5.334561302295636e+17,1.1073725152650011e+18
8420.024861859873,8420.023073158052,8422.585863278955,5.33168659821145e+17,1.1067245585846962e+18
8433.4855066003,8433.485142825684,8434.366248486589,5.3534743755583514e+17,1.1107386703336809e+18
8435.528482042191,8435.52646684217,8436.838746689207,5.3531643699339514e+17,1.1109864649802237e+18
8428.459967040484,8428.457740560263,8425.91097167175,5.3468538067553766e+17,1.1093911479090696e+18
8439.65350056041,8439.652315372325,8438.03399351649,5.3614408752990035e+17,1.1123773372615896e+18
8420.01891120234,8420.017221256534,8421.434580729288,5.3344781765203456e+17,1.1070029340552593e+18
8436.34710313909,8436.347452342216,8436.80335150657,5.3539766623816954e+17,1.1111794519605297e+18
8423.17583954973,8423.173533919025,8416.148525701557,5.3389194144296864e+17,1.1078774348059844e+18
8430.66698006367,8430.666792139975,8430.087563769102,5.346931421332799e+17,1.1096998762341574e+18
8437.902637635922,8437.900213045283,8436.442105962104,5.3584171163711936e+17,1.1118358953053102e+18
8440.190888099793,8440.187284985082,8441.098550990633,5.356575131720849e+17,1.1119640848802605e+18
8434.235804650463,8434.234420571896,8434.547550776504,5.3500504111078176e+17,1.1104986736801142e+18
8427.422941193436,8427.420657589539,8429.765460676255,5.3435195678184704e+17,1.1089161896600114e+18
