epoch,train_loss,eval_loss,weighted_residual_mean,reconstruction_mse
44,1.0230517557198182e+21,1.022960412398626e+21,1.022960412398626e+21,39815606.8
45,1.0229001720623602e+21,1.022771405470202e+21,1.022771405470202e+21,39814587.2
46,1.0227272111622961e+21,1.0226480525800958e+21,1.0226480525800958e+21,39813971.6
47,1.0226276221880361e+21,1.0225833625935732e+21,1.0225833625935732e+21,39813989.0
48,1.0225492712826439e+21,1.0224335158712841e+21,1.0224335158712841e+21,39812741.0
49,1.0223710225623923e+21,1.0222473694323109e+21,1.0222473694323109e+21,39812303.6
50,1.0222236313183375e+21,1.022121479748977e+21,1.022121479748977e+21,39811453.6
51,1.0220660874282478e+21,1.0219842571793935e+21,1.0219842571793935e+21,39810129.2
52,1.021959860335787e+21,1.0218872010889864e+21,1.0218872010889864e+21,39809389.6
53,1.0218239610895313e+21,1.021739943936483e+21,1.021739943936483e+21,39808994.6
54,1.0216734931676061e+21,1.0215402268851951e+21,1.0215402268851951e+21,39808393.4
55,1.0215128421065235e+21,1.0214591937578373e+21,1.0214591937578373e+21,39807812.4
56,1.0213599018960528e+21,1.021244206689063e+21,1.021244206689063e+21,39807531.0
57,1.0211822638201256e+21,1.0210414180420918e+21,1.0210414180420918e+21,39806877.6
58,1.0209809998292783e+21,1.0208399488090739e+21,1.0208399488090739e+21,39806252.8
59,1.0207655025871086e+21,1.0206510720628266e+21,1.0206510720628266e+21,39804793.6
60,1.0206139908621448e+21,1.020532008147678e+21,1.020532008147678e+21,39804194.0
61,1.0205382029427904e+21,1.0204958175025475e+21,1.0204958175025475e+21,39803953.4
62,1.020439864968427e+21,1.0203409816362961e+21,1.0203409816362961e+21,39803374.2
63,1.0203202467039492e+21,1.0202830998257728e+21,1.0202830998257728e+21,39802584.0
64,1.0202495042235525e+21,1.0201163399758205e+21,1.0201163399758205e+21,39801436.4
65,1.0200934138389675e+21,1.020017405039944e+21,1.020017405039944e+21,39800765.4
66,1.019946914714214e+21,1.01980906078062e+21,1.01980906078062e+21,39799695.8
67,1.0197621224826287e+21,1.0196542319512431e+21,1.0196542319512431e+21,39799225.2
68,1.0195855790316109e+21,1.019507773483986e+21,1.019507773483986e+21,39798668.8
69,1.0194956868702987e+21,1.019368253374905e+21,1.019368253374905e+21,39797938.6
70,1.0193488460661982e+21,1.0192375012113486e+21,1.0192375012113486e+21,39797712.8
71,1.0192370356048246e+21,1.0191862622102756e+21,1.0191862622102756e+21,39796922.8
72,1.0191458854067414e+21,1.01903470904594e+21,1.01903470904594e+21,39795997.0
