epoch,train_loss,train_grad_norm,eval_loss,weighted_residual_mean,reconstruction_mse
39,236678676.3231198,20941676529.738163,214242401.24675325,214242401.24675325,23387950.83116883
40,233573244.12256268,20023605841.29248,210695946.1818182,210695946.1818182,22791927.246753246
41,230165829.97214484,17042357200.935934,210006728.51948053,210006728.51948053,22711004.701298703
42,227420135.35376045,15963092542.752089,207439122.2857143,207439122.2857143,22294316.701298703
43,225099621.6155989,16652213272.245125,205245245.7142857,205245245.7142857,22294002.0
44,222627281.33704737,15503543661.103064,205510535.27272728,205510535.27272728,21859533.74025974
45,220233875.03064066,13260943247.331476,202602912.83116883,202602912.83116883,21552465.35064935
46,218567437.77158773,13015384471.88858,200616796.88311687,200616796.88311687,21640479.844155844
47,216598250.02785516,12054430206.573816,198688771.94805196,198688771.94805196,21484826.025974028
48,214517861.08077994,12547980461.994429,200061549.92207792,200061549.92207792,21416819.16883117
49,212706982.8189415,10116847198.128134,196708320.83116883,196708320.83116883,21446303.272727273
50,210988636.5682451,9887887726.529247,194351993.35064936,194351993.35064936,21228518.545454547
51,209372929.64902508,9849714046.21727,193629883.63636363,193629883.63636363,21054541.74025974
52,207854585.80501392,9405387245.45961,191676771.94805196,191676771.94805196,21112195.714285713
53,205925222.37325907,8649493458.362118,189948511.37662336,189948511.37662336,20925508.675324675
54,204431883.49860725,8066794424.690807,190858213.4025974,190858213.4025974,21253283.532467533
55,203010368.44568247,7891340015.598886,188792844.67532468,188792844.67532468,20912160.285714287
56,201435964.07799444,7975730866.272981,187327203.11688313,187327203.11688313,21019969.012987014
57,200068058.74094707,7548260580.189415,186295988.98701298,186295988.98701298,21018275.48051948
58,198429821.59331477,8132701887.108635,184278655.58441558,184278655.58441558,20900294.181818184
59,196980723.7437326,7263173110.016713,184279744.20779222,184279744.20779222,20632682.64935065
60,195773289.53760445,7569339419.097493,181276035.11688313,181276035.11688313,20680719.636363637
61,193986177.42618385,7010998370.406685,179523140.98701298,179523140.98701298,21114437.246753246
62,192756530.40668523,6962672816.133705,178192387.32467532,178192387.32467532,21216747.92207792
63,190956973.3259053,6404911755.052925,176799277.2987013,176799277.2987013,21042327.454545453
64,189309451.5431755,6705636471.086351,175280706.7012987,175280706.7012987,20965185.038961038
65,187616292.6350975,6550118986.16156,174030363.01298702,174030363.01298702,20828293.246753246
66,185704241.3816156,7129618179.565459,171263020.67532468,171263020.67532468,21184375.42857143
67,183645925.70473537,6714487948.479109,169265499.84415585,169265499.84415585,21338419.16883117
68,181527351.3983287,7127724133.972145,166513158.85714287,166513158.85714287,21193000.961038962
69,179526044.8356546,7579119173.883008,164734235.63636363,164734235.63636363,21359676.051948052
70,177494186.87465182,7410749057.069638,163469142.23376623,163469142.23376623,21685335.324675325
71,175757987.92200556,8770039600.490252,162069869.2987013,162069869.2987013,21704227.09090909
72,173862234.51810583,8311156275.342618,160976201.97402596,160976201.97402596,20902581.558441557
73,171931472.26740947,8936222411.231197,155591090.4935065,155591090.4935065,21003111.454545453
74,170200094.97493038,10384395284.679667,155318360.93506494,155318360.93506494,20646072.701298703
